chrom	start	end	gene_id	gene_name	mid	label	set_label
NC_085846.1	12515562	12548038	tgfb1i1	tgfb1i1	12531800	tgfb1i1	set1
NW_026943821.1	10824507	10831062	ttc9b	ttc9b	10827784	ttc9b	set1
NW_026943825.1	7741487	7766045	ttc9c	ttc9c	7753766	ttc9c	set1
NC_085842.1	179096220	179245185	wnk3	wnk3	179170702	wnk3	set1
NC_085846.1	4969397	4987470	ybx2	ybx2	4978433	ybx2	set1
NW_026943830.1	780476	836170	avil	avil	808323	avil	set1
NW_026943825.1	13938185	13947100	c2cd4d	c2cd4d	13942642	c2cd4d	set1
NC_085842.1	207875793	207916791	calcoco1	calcoco1	207896292	calcoco1	set1
NW_026943819.1	4608174	4619011	dkk4	dkk4	4613592	dkk4	set1
NW_026943819.1	28962326	28969915	dusp2	dusp2	28966120	dusp2	set1
NW_026943825.1	13789108	13802850	lingo4	lingo4	13795979	lingo4	set1
NW_026943830.1	540311	617892	marchf9	marchf9	579101	marchf9	set1
NW_026943825.1	3536779	3537900	rxfp4	rxfp4	3537339	rxfp4	set1
NW_026943820.1	25808374	25812309	tmem30b	tmem30b	25810341	tmem30b	set1
NW_026943825.1	10150927	10161493	tnfaip8l2	tnfaip8l2	10156210	tnfaip8l2	set1
NC_085845.1	205918544	205975540	cpt1b	cpt1b	205947042	cpt1b	set2
NC_085845.1	202694212	202877219	flnc	flnc	202785715	flnc	set2
NC_085845.1	206645884	206793978	snd1	snd1	206719931	snd1	set2
NC_085843.1	24494570	24823379	gria4	gria4	24658974	gria4	set2
NC_085843.1	23232975	23438064	dync2h1	dync2h1	23335519	dync2h1	set2
NC_085843.1	4288031	4467124	arap1	arap1	4377577	arap1	set2
NC_085846.1	97850199	97984468	nebl	nebl	97917333	nebl	set2
NC_085844.1	3205652	3231655	zftraf1	zftraf1	3218653	zftraf1	set2
NC_085844.1	3312915	3336413	vps28	vps28	3324664	vps28	set2
NC_085844.1	3624001	3669539	adck5	adck5	3646770	adck5	set2
NC_085844.1	3534413	3621214	cpsf1	cpsf1	3577813	cpsf1	set2
NC_085844.1	1091799	1165693	oplah	oplah	1128746	oplah	set2
NC_085844.1	1199006	1233832	gpaa1	gpaa1	1216419	gpaa1	set2
NC_085844.1	488259	797959	plec	plec	643109	plec	set2
NW_026943823.1	2204390	2407208	gria3	gria3	2305799	gria3	set2
NC_085845.1	52530235	52636682	gria2	gria2	52583458	gria2	set2
NC_085842.1	308252628	308631036	tcf4	tcf4	308441832	tcf4	set2
NC_085842.1	309045550	309121768	mbd2	mbd2	309083659	mbd2	set2
NC_085842.1	140593861	140765454	tbcd	tbcd	140679657	tbcd	set2
NW_026943826.1	12859692	12876946	cdc42	cdc42	12868319	cdc42	set2
NC_085842.1	180626548	180661485	smc1a	smc1a	180644016	smc1a	set2
NC_085842.1	180231070	180273273	g6pd	g6pd	180252171	g6pd	set2
NC_085842.1	181583122	181611878	hcfc1	hcfc1	181597500	hcfc1	set2
NC_085842.1	182161997	182251915	flna	flna	182206956	flna	set2
NC_085842.1	178995499	179035778	phf8	phf8	179015638	phf8	set2
NC_085842.1	211866912	211921757	uba1	uba1	211894334	uba1	set2
NC_085842.1	211471046	211500207	cxxc1	cxxc1	211485626	cxxc1	set2
NC_085846.1	35271372	35376025	mapt	mapt	35323698	mapt	set2
NW_026943818.1	34642399	34758212	tcf3	tcf3	34700305	tcf3	set2
NW_026943819.1	7495506	7653813	bmp1	bmp1	7574659	bmp1	set2
NW_026943819.1	29700387	29722347	npc1l1	npc1l1	29711367	npc1l1	set2
NC_085846.1	15667076	15719736	cacng7	cacng7	15693406	cacng7	set2
NC_085846.1	15195141	15257787	grin2d	grin2d	15226464	grin2d	set2
NC_085846.1	22712587	22799955	ppfia3	ppfia3	22756271	ppfia3	set2
NC_085846.1	22331356	22403425	syt3	syt3	22367390	syt3	set2
NC_085846.1	22419796	22487709	mybpc2	mybpc2	22453752	mybpc2	set2
NC_085842.1	25632541	25643988	ddx39b	ddx39b	25638264	ddx39b	set2
NC_085842.1	25696446	25730949	bag6	bag6	25713697	bag6	set2
NC_085842.1	26321106	26332186	csnk2b	csnk2b	26326646	csnk2b	set2
NC_085842.1	27756113	27799021	vars1	vars1	27777567	vars1	set2
NC_085842.1	25273065	25319081	ehmt2	ehmt2	25296073	ehmt2	set2
NC_085842.1	30506609	30561425	abcf1	abcf1	30534017	abcf1	set2
NC_085842.1	1161428	1196417	vps52	vps52	1178922	vps52	set2
NC_085842.1	884199	901135	ring1	ring1	892667	ring1	set2
NC_085842.1	32146418	32464371	gabbr1	gabbr1	32305394	gabbr1	set2
NC_085842.1	32094429	32101527	rps5	rps5	32097978	rps5	set2
NW_026943825.1	15761957	15791539	trim46	trim46	15776748	trim46	set2
NW_026943825.1	1973669	1983930	pex19	pex19	1978799	pex19	set2
NC_085846.1	8464863	8484498	prmt5	prmt5	8474680	prmt5	set2
NC_085846.1	8488677	8503514	rbm23	rbm23	8496095	rbm23	set2
NC_085846.1	8417291	8423238	psmb5	psmb5	8420264	psmb5	set2
NC_085846.1	7626817	7646587	pck2	pck2	7636702	pck2	set2
NC_085846.1	9510469	9530197	supt16h	supt16h	9520333	supt16h	set2
NC_085846.1	9454956	9505284	chd8	chd8	9480120	chd8	set2
NC_085846.1	11192886	11206252	osgep	osgep	11199569	osgep	set2
NC_085846.1	13727916	13744567	maz	maz	13736241	maz	set2
NC_085846.1	18092889	18099645	tufm	tufm	18096267	tufm	set2
NC_085846.1	18212706	18251605	atp2a1	atp2a1	18232155	atp2a1	set2
NC_085846.1	18330986	18345992	spns1	spns1	18338489	spns1	set2
NC_085846.1	12641882	12657533	slc5a2	slc5a2	12649707	slc5a2	set2
NC_085846.1	19419434	19433930	mfap4	mfap4	19426682	mfap4	set2
NC_085846.1	12357305	12366131	kat8	kat8	12361718	kat8	set2
NC_085846.1	13845149	13854342	ppp4c	ppp4c	13849745	ppp4c	set2
NC_085842.1	195145592	195155688	fdx2	fdx2	195150640	fdx2	set2
NC_085842.1	197608237	197627615	gtf2f1	gtf2f1	197617926	gtf2f1	set2
NC_085842.1	188193812	188273319	dnmt1	dnmt1	188233565	dnmt1	set2
NC_085842.1	128764776	128791170	trmt1	trmt1	128777973	trmt1	set2
NC_085842.1	128832861	129222662	cacna1a	cacna1a	129027761	cacna1a	set2
NC_085842.1	192216671	192284377	pnpla6	pnpla6	192250524	pnpla6	set2
NC_085842.1	129975308	130217695	adgrl1	adgrl1	130096501	adgrl1	set2
NW_026943821.1	412463	469159	grik5	grik5	440811	grik5	set2
NW_026943821.1	322865	393000	pou2f2	pou2f2	357932	pou2f2	set2
NW_026943821.1	15237004	15266015	atp4a	atp4a	15251509	atp4a	set2
NW_026943821.1	15281300	15297621	gapdhs	gapdhs	15289460	gapdhs	set2
NW_026943821.1	15688081	15698983	psmc4	psmc4	15693532	psmc4	set2
NW_026943821.1	996470	1031839	lipe	lipe	1014154	lipe	set2
NW_026943821.1	9707651	9719730	relb	relb	9713690	relb	set2
NW_026943821.1	2554554	2599164	ercc2	ercc2	2576859	ercc2	set2
NW_026943821.1	4884749	4956266	clip3	clip3	4920507	clip3	set2
NW_026943821.1	5792094	5824155	ppp5c	ppp5c	5808124	ppp5c	set2
NW_026943821.1	2347065	2451128	mark4	mark4	2399096	mark4	set2
NW_026943821.1	6141804	6201727	sympk	sympk	6171765	sympk	set2
NW_026943821.1	7278634	7456917	ryr1	ryr1	7367775	ryr1	set2
NW_026943821.1	11114292	11192767	sptbn4	sptbn4	11153529	sptbn4	set2
NC_085846.1	4471878	4569301	dlg4	dlg4	4520589	dlg4	set2
NC_085846.1	3840794	3859829	eif4a1	eif4a1	3850311	eif4a1	set2
NC_085846.1	2109516	2141127	eno3	eno3	2125321	eno3	set2
NC_085846.1	585312	629179	ache	ache	607245	ache	set2
NC_085846.1	4938166	4954749	eif5a	eif5a	4946457	eif5a	set2
NC_085846.1	9678529	9710205	pfas	pfas	9694367	pfas	set2
NC_085846.1	5600248	5628484	polr2a	polr2a	5614366	polr2a	set2
NC_085846.1	6505247	6545541	gucy2d	gucy2d	6525394	gucy2d	set2
NW_026943825.1	3511916	3528709	eef1g	eef1g	3520312	eef1g	set2
NW_026943825.1	7697158	7713449	polr2g	polr2g	7705303	polr2g	set2
NW_026943825.1	8475353	8531780	cnih2	cnih2	8503566	cnih2	set2
NW_026943825.1	5520024	5549372	sf3b2	sf3b2	5534698	sf3b2	set2
NW_026943825.1	886333	901049	fibp	fibp	893691	fibp	set2
NW_026943825.1	4496444	4550252	ltbp3	ltbp3	4523348	ltbp3	set2
NW_026943825.1	4673970	4695033	sf1	sf1	4684501	sf1	set2
NW_026943825.1	4718874	4752342	pygm	pygm	4735608	pygm	set2
NW_026943825.1	4863776	5403908	nrxn2	nrxn2	5133842	nrxn2	set2
NW_026943825.1	3221929	3258045	sart1	sart1	3239987	sart1	set2
